filename|mods.accessCondition#text|mods.accessCondition@type|mods.accessCondition@xlink:href|mods.genre#text|mods.genre@authority|mods.identifier#text|mods.identifier.0#text|mods.identifier.0@type|mods.identifier.1#text|mods.identifier.1@type|mods.identifier@type|mods.language.languageTerm#text|mods.language.languageTerm@type|mods.name.role.roleTerm#text|mods.name.role.roleTerm@type|mods.namenamePart|mods.originInfo.0publisher|mods.originInfo.1dateOther|mods.recordInfo.languageOfCataloging.languageTerm#text|mods.recordInfo.languageOfCataloging.languageTerm@authority|mods.recordInfo.languageOfCataloging.languageTerm@type|mods.recordInforecordContentSource|mods.recordInforecordOrigin|mods.relatedItem.titleInfotitle|mods.relatedItem@type|mods.subject.0topic|mods.subject.1topic|mods.titleInfotitle|mods@version|mods@xmlns|mods@xmlns:xlink|mods@xmlns:xsi|mods@xsi:schemaLocation|modsnote|modstypeOfResource
phoenix_2695.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1973winter|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1973 Winter|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_4582.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1989spring|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1989 Spring|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_5887.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_2009spring|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|2009 Spring|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_2642.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1973spring|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1973 Spring|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_2332.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1969fall|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1969 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_2454.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1971fall|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1971 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_4192.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1985winter|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1985 Winter|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_2508.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1971winter|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1971 Winter|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_5267.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1998springfiction|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1998 Spring|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_4623.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1990fall|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1990 Fall|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
phoenix_597.xml|In Copyright - Educational Use Permitted|use and reproduction|http://rightsstatements.org/vocab/InC-EDU/1.0/|text|dct|phoenix_1962summer|    |    |    |    |local|Eng|text|creator|text|University of Tennessee (Knoxville campus)|The University of Tennessee Libraries, Knoxville|1962 Summer|eng|iso639-2b|code|University of Tennessee, Knoxville. Libraries|Created and edited in general conformance to MODS Guidelines (Version 3.5).|The University of Tennessee Libraries, Special Collections, Knoxville|original|University of Tennessee (Knoxville campus) -- Students -- Periodicals.|Imprints, Tennessee -- Knoxville -- 1959.|The Phoenix|3.5|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd|Publications by students|text
